Link hình ảnh;Mã SKU;Tên;Cân nặng(g);Chiều dài(cm);Chiều rộng(cm);Chiều cao(cm);Tên kho;Khu vực kho;Vị trí;Tổng số;Đơn hàng đã khóa;Toàn bộ kho khả dụng;Dự trữ chương trình;Đang vận tải;Tổng giá vốn hàng đang vận tải;Cảnh báo tồn kho;Dự báo bán hàng hàng ngày;Dự kiến số ngày có thể bán;Giá vốn bình quân gia quyền;Tổng giá vốn;Trạng thái bán hàng;Ngành hàng cấp 1;Ngành hàng cấp 2;Ngành hàng cấp 3;Loại SKU;Chú thích
https://res.bigseller.pro/sku/images/merchantsku/944484/035301_1754361505126.jpg?imageView2/1/w/300/h/300;1781;HYAESTIC Kem chống nắng vật lý Hyaestic Mineral & Non-nano Sunscreen SPF45 60ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;541772.73;0.00;Ngừng bán;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/735590_1754366219859.jpg?imageView2/1/w/300/h/300;1780;HYAESTIC Kem chống nắng Skin Fusion SF64 Sun And Pollution Protector SPF50+ - 50ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;541724.14;0.00;Ngừng bán;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/881191_1754365907857.jpg?imageView2/1/w/300/h/300;1779;HUXLEY Mặt nạ tẩy tế bào chết Scrub Mask - 30gr;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;3.00;0;56600.00;0.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/588188_1770000236230.jpg?imageView2/1/w/300/h/300;1778;HORUS Bông Tẩy Trang 100% Cotton Thiên Nhiên Horus Soft Cotton Pads - 120 Miếng;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;10000.00;0.00;Ngừng bán;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/988409_1766131756638.jpg?imageView2/1/w/300/h/300;1777;HETRAS Sữa tắm Hetras Hotel Therapy Body Wash No.20 Santal Fresh;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;64;0;64;0;0;0.00;0;0.23;278;235000.00;15040000.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/068334_1788534019389.jpg?imageView2/1/w/300/h/300;1776;HETRAS Sữa tắm Hetras Hotel Therapy Body Wash No.07 - Hotel Wood 1013ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;102;0;102;0;0;0.00;0;0.30;340;238794.12;24357000.24;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/354656_1754365813065.jpg?imageView2/1/w/300/h/300;1775;HERBAL ESSENCES Dầu Xả Tinh Dầu Argan Morocco 400ml - Phục hồi Xanh dương;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;132212.00;0.00;Ngừng bán;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/800940_1755553018470.jpg?imageView2/1/w/300/h/300;1774;HERBAL ESSENCES Dầu Gội Tinh Dầu Argan Morocco 400ml - Phục hồi Xanh dương;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;132212.00;0.00;Ngừng bán;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/545191_1758025647908.jpg?imageView2/1/w/300/h/300;1773;HERBAL ESSENCES Dầu Gội Tinh Dầu Argan Morocco 400ml - HỒNG Dâu tây & bạc hà;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;9;0;9;0;0;0.00;0;0.00;--;132212.00;1189908.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/153866_1754365620943.jpg?imageView2/1/w/300/h/300;1772;HERBAL ESSENCES Dầu Gội Tinh Dầu Argan Morocco 400ml - Bồng bềnh Cam;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;132212.00;0.00;Ngừng bán;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/723597_1754365726120.jpg?imageView2/1/w/300/h/300;1771;HERALAB Nước Giặt Đồ Lót Hương Hoa Cỏ Khử Mùi An Toàn Cho Da 300ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;5;0;5;0;0;0.00;0;0.00;--;0.00;0.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/555372_1754365710711.jpg?imageView2/1/w/300/h/300;1770;HATOMUGI  Nước Cân Bằng Naturie Toner Chiết Xuất Hạt Ý Dĩ Cấp Ẩm, Dưỡng Da Mềm Mượt 500ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;8;0;8;0;0;0.00;0;0.00;--;73490.91;587927.28;Còn hàng;HATOMUGI;;;Single SKU;
