Mã SKU;Tên;Thuộc tính phân loại;Danh mục;Xuất kho / Bán hàng;Lợi nhuận gộp hàng hóa đã giao;Tỷ suất Lợi nhuận gộp hàng hóa đã giao;Lượng bán xuất kho trung bình hàng ngày;Tồn kho khả dụng;Số ngày có thể bán;Đang vận tải;Cảnh báo tồn kho;Thời gian tạo;Link hình ảnh
2606;VOUDIOTY Tinh dầu dưỡng tóc 60ml;;Chưa chọn danh mục;84;250375.16;0.0524;8.4;0;0;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/748299_1785306992707.jpg?imageView2/1/w/300/h/300
1349;CERAVE Sữa Rửa Mặt Foaming Cleanser - 236ml FRANCE;;Chưa chọn danh mục;82;1632690.72;0.0801;8.2;388;47;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/862346_1754365717686.jpg?imageView2/1/w/300/h/300
1322;CARYOPHY Mặt nạ Skin Repair Mask Sheet 3IN1 22g - 01 miếng - XANH DƯƠNG;;Chưa chọn danh mục;80;57262.8;0.042;8;110;13;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/860050_1772596263833.jpg?imageView2/1/w/300/h/300
2626;YUEJIN Mặt nạ cấp ẩm YUEJIN B5 REPAIR CONTROL EGF 25ml 1 MIẾNG;;Chưa chọn danh mục;80;60683.2;0.0677;8;285;35;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/017205_1754365627012.jpg?imageView2/1/w/300/h/300
1547;DERMA FORTE Gel giảm mụn 15g - Bản thường;;Chưa chọn danh mục;77;782627.18;0.1081;7.7;100;12;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/830774_1754365626073.jpg?imageView2/1/w/300/h/300
2361;SILCOT Bông tẩy trang Unicharm - 82 miếng Xanh dương;;Chưa chọn danh mục;75;382143.25;0.19469999999999998;7.5;952;126;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/941114_1755015056285.jpg?imageView2/1/w/300/h/300
1858;JOHNSON'S Sữa tắm gội Baby Top-To-Toe Hair & Body (Vàng) - 200ml;;Chưa chọn danh mục;74;2655977.1;0.3804;7.4;49;6;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/941964_1754365817126.jpg?imageView2/1/w/300/h/300
1475;COMPLIMENT Sữa rửa mặt No Problem 200ml - Xanh ngọc;;Chưa chọn danh mục;73;1528879.07;0.2726;7.3;403;55;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/213848_1754366311741.jpg?imageView2/1/w/300/h/300
2559;VASELINE Son Dưỡng Lip Therapy Thỏi 4.8g - Aloe Vera;;Chưa chọn danh mục;72;360000;0.1;7.2;6;0;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/374028_1754366217768.jpg?imageView2/1/w/300/h/300
2388;SMAS Mặt nạ Peptide Silk Mask 25gr;;Chưa chọn danh mục;70;119889.8;0.0275;7;41;5;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/640185_1754366310170.jpg?imageView2/1/w/300/h/300
1657;EUCRYL Bột Tẩy Trắng Răng Powerful Stain Removal Toothpowder 50g - Lẻ 1 Hộp Bột Tẩy;;EUCRYL;60;198270.8;0.07629999999999999;6;0;0;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/149145_1754366215335.jpg?imageView2/1/w/300/h/300
